year,quarter,fiscal_impact_moving_average,recession,fiscal_impact,federal_purchases,state_local_purchases,consumption,projection
1960,Q1, NA , -   , NA , NA , NA , NA , -   
1960,Q2, NA , 1.00 , 0.24 , (0.17), 0.24 , 0.16 , -   
1960,Q3, NA , 1.00 , 1.61 , 1.13 , 0.19 , 0.29 , -   
1960,Q4, NA , 1.00 , 0.21 , (0.56), 0.22 , 0.55 , -   
1961,Q1, 0.84 , 1.00 , 1.31 , 0.05 , 0.43 , 0.83 , -   
1961,Q2, 0.81 , -   , 0.13 , (0.15), (0.46), 0.74 , -   
1961,Q3, 0.79 , -   , 1.50 , 1.07 , (0.10), 0.53 , -   
1961,Q4, 1.03 , -   , 1.19 , 0.47 , 0.68 , 0.04 , -   
1962,Q1, 0.87 , -   , 0.67 , 1.65 , (0.79), (0.18), -   
1962,Q2, 0.68 , -   , (0.63), (0.32), (0.17), (0.15), -   
1962,Q3, 0.55 , -   , 0.96 , 1.05 , 0.11 , (0.20), -   
1962,Q4, 0.15 , -   , (0.39), (0.25), (0.03), (0.12), -   
1963,Q1, (0.61), -   , (2.38), (2.52), 0.20 , (0.06), -   
1963,Q2, (0.74), -   , (1.14), (0.69), (0.16), (0.29), -   
1963,Q3, (0.29), -   , 2.76 , 2.74 , 0.32 , (0.30), -   
1963,Q4, (0.77), -   , (2.32), (1.90), (0.13), (0.28), -   
1964,Q1, (0.36), -   , (0.74), (0.80), 0.13 , (0.07), -   
1964,Q2, (0.04), -   , 0.14 , (0.60), 0.39 , 0.35 , -   
1964,Q3, (0.91), -   , (0.69), (0.92), 0.03 , 0.20 , -   
1964,Q4, (0.57), -   , (0.98), (0.95), (0.02), (0.02), -   
1965,Q1, (0.71), -   , (1.30), (1.27), 0.13 , (0.16), -   
1965,Q2, (0.75), -   , (0.01), (0.33), 0.44 , (0.12), -   
1965,Q3, 0.07 , -   , 2.57 , 1.34 , 0.65 , 0.57 , -   
1965,Q4, 0.56 , -   , 0.97 , 0.61 , 0.09 , 0.27 , -   
1966,Q1, 0.97 , -   , 0.34 , 0.96 , (0.28), (0.35), -   
1966,Q2, 1.00 , -   , 0.13 , 1.16 , (0.47), (0.56), -   
1966,Q3, 0.58 , -   , 0.90 , 1.51 , (0.02), (0.59), -   
1966,Q4, 0.51 , -   , 0.67 , (0.06), 0.73 , 0.01 , -   
1967,Q1, 1.22 , -   , 3.20 , 2.77 , 0.11 , 0.33 , -   
1967,Q2, 0.94 , -   , (1.00), (1.60), 0.13 , 0.47 , -   
1967,Q3, 0.78 , -   , 0.26 , 0.61 , (0.57), 0.23 , -   
1967,Q4, 0.50 , -   , (0.47), (0.17), (0.17), (0.14), -   
1968,Q1, (0.19), -   , 0.44 , 0.06 , 0.59 , (0.20), -   
1968,Q2, (0.06), -   , (0.48), (0.66), 0.15 , 0.03 , -   
1968,Q3, (0.43), -   , (1.20), (1.08), 0.24 , (0.36), -   
1968,Q4, (0.64), -   , (1.34), (0.88), (0.09), (0.37), -   
1969,Q1, (1.09), -   , (1.32), (1.18), 0.39 , (0.53), -   
1969,Q2, (1.47), -   , (2.03), (1.04), (0.20), (0.79), -   
1969,Q3, (1.46), -   , (1.14), (0.25), (0.50), (0.39), -   
1969,Q4, (1.72), 1.00 , (2.39), (1.41), (0.75), (0.23), -   
1970,Q1, (1.70), 1.00 , (1.27), (1.12), (0.16), 0.01 , -   
1970,Q2, (1.44), 1.00 , (0.99), (1.70), (0.19), 0.90 , -   
1970,Q3, (0.95), 1.00 , 0.85 , (0.94), 0.58 , 1.21 , -   
1970,Q4, (0.16), 1.00 , 0.78 , (0.61), (0.08), 1.47 , -   
1971,Q1, (0.02), -   , (0.71), (1.91), (0.24), 1.44 , -   
1971,Q2, 0.29 , -   , 0.26 , (0.31), (0.59), 1.16 , -   
1971,Q3, 0.14 , -   , 0.22 , (0.92), 0.13 , 1.01 , -   
1971,Q4, (0.22), -   , (0.65), (1.43), 0.06 , 0.73 , -   
1972,Q1, (0.09), -   , (0.19), (0.02), (0.21), 0.04 , -   
1972,Q2, (0.39), -   , (0.92), 2.43 , (2.80), (0.54), -   
1972,Q3, (1.11), -   , (2.70), (4.56), 2.14 , (0.28), -   
1972,Q4, (0.91), -   , 0.15 , 3.52 , (3.51), 0.14 , -   
