date,category,net,net_mlt
2020 Q1,Health Outlays,0,0
2020 Q2,Health Outlays,12.27539989,10.8023519
2020 Q3,Health Outlays,28.75077599,28.24677885
2020 Q4,Health Outlays,39.3697098,43.01857885
2021 Q1,Health Outlays,47.9405612,55.82304132
2021 Q2,Health Outlays,45.16873766,57.70363556
2021 Q3,Health Outlays,45.15436755,58.69139041
2021 Q4,Health Outlays,53.30993552,66.04647366
2022 Q1,Health Outlays,62.77849783,76.16811098
2022 Q2,Health Outlays,73.59410645,88.93610747
2022 Q3,Health Outlays,77.07393295,96.21966242
2022 Q4,Health Outlays,78.64063841,100.2995084
2023 Q1,Health Outlays,81.36654093,104.1408276
2023 Q2,Health Outlays,82.259878,105.9779751
2020 Q1,Purchases,0,0
2020 Q2,Purchases,18.27120536,16.07866072
2020 Q3,Purchases,-14.75677957,-8.600876736
2020 Q4,Purchases,-34.48712022,-31.69774825
2021 Q1,Purchases,-14.44052589,-21.65911286
2021 Q2,Purchases,-48.60868787,-51.26523274
2021 Q3,Purchases,-33.62169437,-45.05526645
2021 Q4,Purchases,-13.61435306,-26.74931144
2022 Q1,Purchases,0.251906442,-9.996891663
2022 Q2,Purchases,0.417538653,-3.223132469
2022 Q3,Purchases,-7.306536544,-7.116175292
2022 Q4,Purchases,-21.48368927,-20.5939963
2023 Q1,Purchases,-34.51010568,-36.37671049
2023 Q2,Purchases,-45.98681504,-51.7672575
2020 Q1,Rebate Checks,0,0
2020 Q2,Rebate Checks,239.024931,210.3419393
2020 Q3,Rebate Checks,105.8668436,150.5288058
2020 Q4,Rebate Checks,57.19768959,104.425001
2021 Q1,Rebate Checks,349.9030017,348.6876041
2021 Q2,Rebate Checks,291.326525,353.5597958
2021 Q3,Rebate Checks,235.2778813,322.3831231
2021 Q4,Rebate Checks,161.8837844,254.8777849
2022 Q1,Rebate Checks,163.6938423,228.6156268
2022 Q2,Rebate Checks,118.4087789,177.0289746
2022 Q3,Rebate Checks,107.4945743,152.3696204
2022 Q4,Rebate Checks,106.5027342,143.551788
2023 Q1,Rebate Checks,81.97398533,117.701639
2023 Q2,Rebate Checks,65.16412803,96.24819172
2020 Q1,Social Benefits,0,0
2020 Q2,Social Benefits,52.24929442,45.97937909
2020 Q3,Social Benefits,106.1594597,105.9601552
2020 Q4,Social Benefits,127.8248995,144.2340972
2021 Q1,Social Benefits,193.7339004,217.0379011
2021 Q2,Social Benefits,165.297788,213.666745
2021 Q3,Social Benefits,158.0187651,209.6455444
2021 Q4,Social Benefits,142.2255084,194.5427196
2022 Q1,Social Benefits,98.57808278,149.762954
2022 Q2,Social Benefits,80.64620907,121.1755908
2022 Q3,Social Benefits,68.96842073,100.4102009
2022 Q4,Social Benefits,51.61923252,77.56957565
2023 Q1,Social Benefits,46.39594704,66.33203224
2023 Q2,Social Benefits,37.61954413,54.57263927
2020 Q1,Subsidies,0,0
2020 Q2,Subsidies,46.73187018,41.12404576
2020 Q3,Subsidies,90.92451818,91.22922484
2020 Q4,Subsidies,105.6309725,120.3849646
2021 Q1,Subsidies,112.0977439,137.7123024
2021 Q2,Subsidies,131.409507,160.6750124
2021 Q3,Subsidies,155.1574913,187.8664616
2021 Q4,Subsidies,154.3299127,195.5431266
2022 Q1,Subsidies,149.5426539,195.1401839
2022 Q2,Subsidies,146.3026954,192.4656479
2022 Q3,Subsidies,144.1032527,189.1284225
2022 Q4,Subsidies,140.7005557,184.9301524
2023 Q1,Subsidies,137.8037401,181.1059767
2023 Q2,Subsidies,104.3807665,150.458234
2020 Q1,Taxes,0,0
2020 Q2,Taxes,35.83092996,31.53121836
2020 Q3,Taxes,53.73382199,55.88518654
2020 Q4,Taxes,43.76659922,55.71043619
2021 Q1,Taxes,27.16733366,43.00915187
2021 Q2,Taxes,7.278441335,21.40120968
2021 Q3,Taxes,-17.62064031,-7.87326156
2021 Q4,Taxes,-41.60037101,-38.33382718
2022 Q1,Taxes,-62.01201937,-66.23243645
2022 Q2,Taxes,-100.9026471,-109.7264971
2022 Q3,Taxes,-132.6568674,-150.8921432
2022 Q4,Taxes,-159.4201101,-187.9563839
2023 Q1,Taxes,-177.8930767,-216.7797169
2023 Q2,Taxes,-192.0878738,-238.8214927
2020 Q1,UI,0,0
2020 Q2,UI,285.0200113,250.8176099
2020 Q3,UI,490.6034403,500.1358302
2020 Q4,UI,360.0526436,468.7935534
2021 Q1,UI,359.5267754,478.7698103
2021 Q2,UI,387.0168512,499.5037788
2021 Q3,UI,325.8104975,444.3436537
2021 Q4,UI,184.4836571,308.5537663
2022 Q1,UI,77.20389654,174.5337774
2022 Q2,UI,46.92542149,101.5099748
2022 Q3,UI,13.32675309,43.32313089
2022 Q4,UI,-5.354391429,8.749840657
2023 Q1,UI,-16.92266279,-11.76226154
2023 Q2,UI,-17.31861044,-19.14473804
