date,gdp,gdph,gdppothq,gdppotq,dc,jgdp,c,ch,gh,gfh,gsh,g,gf,gs,cpiu,,,,,
3/31/2017,19190.4,17925.3,18116.7,19395.4,105.355,107.04,13104.4,12438.9,3157.3,1186.4,1968.9,3368.7,1248.4,2120.3,243.83,,,,,
6/30/2017,19356.6,18021,18191.7,19539.9,105.596,107.394,13212.5,12512.9,3168,1195.9,1970.1,3392.9,1263.6,2129.3,244.065,,,,,
9/30/2017,19611.7,18163.6,18269.9,19726.5,106.033,108.032,13345.1,12586.3,3167.1,1196.1,1969,3415.4,1270.2,2145.2,245.368,,real,pot,,
12/31/2017,19918.9,18322.5,18351.2,19950.1,106.733,108.715,13586.3,12729.7,3186.1,1209.8,1974.5,3471,1295.1,2175.9,247.273,,0.87%,0.44%,,
3/31/2018,20163.2,18438.3,18436.1,20160.8,107.401,109.341,13728.4,12782.9,3201.1,1218.1,1981.2,3521.4,1318.2,2203.2,249.25,,0.63%,0.46%,real,pot
6/30/2018,20510.2,18598.1,18524.9,20429.5,107.988,110.209,13939.8,12909.2,3221.4,1229.9,1989.9,3577.1,1340.4,2236.7,250.578,,3.47%,1.93%,3.31%,1.96%
9/30/2018,20749.8,18732.7,18617,20621.7,108.413,110.765,14114.6,13019.8,3238,1238.7,1997.7,3622.6,1358.6,2263.9,251.828,,2.89%,1.99%,2.15%,2.00%
12/31/2018,20897.8,18783.5,18711,20817.2,108.772,111.212,14211.9,13066.3,3234.9,1242.1,1991.4,3644.8,1371.8,2273,252.759,,1.08%,2.02%,3.09%,2.04%
3/31/2019,21098.8,18927.3,18806.4,20964.1,108.879,111.504,14266.3,13103.3,3258.1,1248.8,2007.9,3683.1,1394.7,2288.4,253.311,,3.06%,2.04%,1.69%,2.08%
6/30/2019,21340.3,19021.9,18903.1,21207.1,109.522,112.173,14511.2,13250,3296.6,1273.9,2021.4,3742.3,1415.2,2327.1,255.139,,2.00%,2.06%,1.98%,2.09%
9/30/2019,21542.5,19121.1,19000.9,21407,109.928,112.679,14678.2,13353.1,3310.4,1284.4,2024.9,3772.8,1432.2,2340.5,256.273,,2.09%,2.07%,2.18%,2.11%
12/31/2019,21778.2,19230.1,19099.9,21630.7,110.413,113.25,14823.3,13425.3,3318.8,1283.2,2034.4,3806.1,1437.8,2368.3,258.037,,2.28%,2.08%,2.38%,2.10%
3/31/2020,21992.5,19325.9,19197.6,21846.5,110.982,113.798,15008.1,13523,3332.3,1294,2037.4,3847.6,1456.8,2390.8,259.714,,1.99%,2.05%,2.09%,2.10%
6/30/2020,22218.3,19445.5,19295.2,22046.5,111.45,114.259,15145.2,13589.2,3339.1,1296.7,2041.4,3876.7,1466.9,2409.8,260.886,,2.48%,2.03%,1.89%,2.10%
9/30/2020,22455.3,19551,19393.1,22273.9,112.039,114.854,15321.2,13674.8,3344.9,1299.1,2044.8,3909.1,1476.8,2432.4,262.586,,2.17%,2.03%,1.80%,2.09%
12/31/2020,22693.5,19655.6,19490.6,22503.1,112.635,115.456,15492.7,13754.7,3350,1301.1,2048,3941.3,1486.5,2454.8,264.233,,2.14%,2.01%,1.80%,2.07%
3/31/2021,22921.4,19748,19587.8,22735.3,113.246,116.069,15659.5,13827.9,3355.3,1303.4,2051,3974.2,1496.7,2477.4,265.94,,1.88%,1.99%,1.78%,2.07%
6/30/2021,23141.8,19832.8,19685.3,22969.8,113.85,116.685,15818.7,13894.3,3360.5,1305.7,2053.8,4007.2,1507.1,2500.1,267.634,,1.72%,1.99%,1.70%,2.06%
9/30/2021,23359.1,19915.3,19782.8,23203.8,114.447,117.292,15975.7,13959,3365.5,1308,2056.5,4040.5,1517.4,2523.1,269.331,,1.66%,1.98%,1.72%,2.05%
12/31/2021,23583.3,20000.1,19880.3,23442,115.055,117.916,16139,14027.1,3369.2,1309,2059.2,4072.9,1526.5,2546.4,271.05,,1.70%,1.97%,1.71%,2.04%
3/31/2022,23803.9,20080.4,19977.6,23682,115.666,118.543,16300.6,14092.8,3373.3,1310.3,2062,4106.7,1536.1,2570.6,272.8,,1.61%,1.96%,1.66%,2.03%
6/30/2022,24027.9,20163.4,20074.4,23921.7,116.274,119.165,16464.3,14159.9,3377.6,1311.6,2065,4141,1545.6,2595.3,274.538,,1.65%,1.94%,1.72%,2.01%
9/30/2022,24250.8,20244.8,20170.7,24162.1,116.879,119.787,16626.7,14225.5,3382,1312.9,2068.1,4175.9,1555.4,2620.5,276.261,,1.61%,1.92%,1.69%,2.00%
12/31/2022,24472.4,20323.5,20266.8,24404.1,117.486,120.414,16786.1,14287.6,3386.6,1314.2,2071.3,4211.6,1565.4,2646.3,277.979,,1.55%,1.91%,1.66%,1.98%
3/31/2023,24695.2,20402.6,20362.7,24647,118.087,121.039,16949.4,14353.2,3391.1,1315.5,2074.5,4247.6,1575.3,2672.2,279.681,,1.56%,1.89%,1.65%,1.96%
6/30/2023,24920.5,20482.6,20458.3,24891,118.688,121.666,17107.8,14414,3395.7,1317,2077.6,4283.8,1585.5,2698.3,281.375,,1.57%,1.88%,1.64%,1.94%
9/30/2023,25148,20562.7,20554.1,25137.4,119.29,122.299,17267.8,14475.4,3400.4,1318.4,2080.8,4320.5,1595.7,2724.8,283.067,,1.56%,1.87%,1.64%,1.92%
12/31/2023,25378.2,20643.3,20650,25386.4,119.894,122.936,17427.1,14535.3,3405.2,1319.9,2084.1,4357.6,1606.1,2751.5,284.763,,1.57%,1.87%,1.66%,1.90%
3/31/2024,25607.9,20723.1,20746.4,25636.7,120.496,123.572,17593.1,14600.5,3410.1,1321.4,2087.4,4394.9,1616.5,2778.4,286.444,,1.55%,1.87%,1.68%,1.89%
6/30/2024,25838.4,20802.4,20842.3,25888,121.098,124.209,17754.3,14661.1,3414.9,1322.9,2090.7,4432.4,1627,2805.3,288.118,,1.53%,1.85%,1.70%,1.86%
9/30/2024,26070.3,20882,20937.8,26140,121.699,124.845,17916.2,14721.7,3419.7,1324.3,2094,4470,1637.4,2832.6,289.786,,1.53%,1.83%,1.81%,1.85%
12/31/2024,26302.8,20961.1,21032.6,26392.5,122.3,125.483,18077.7,14781.3,3424.4,1325.7,2097.3,4507.9,1647.8,2860.1,291.45,,1.52%,1.81%,1.83%,1.83%
3/31/2025,26535,21039.9,21126.5,26644.3,122.896,126.117,18245.5,14846.2,3428.7,1326.7,2100.6,4545.4,1657.9,2887.4,293.098,,1.50%,1.79%,1.81%,1.81%
6/30/2025,26770.7,21120.3,21219,26895.8,123.494,126.753,18410.3,14907.8,3433,1327.8,2103.7,4582.8,1668,2914.8,294.751,,1.53%,1.75%,1.69%,1.79%
9/30/2025,27002.3,21196.4,21310.5,27147.7,124.094,127.391,18569.5,14964.1,3437.3,1328.8,2106.9,4620.6,1678.2,2942.4,296.41,,1.44%,1.72%,1.66%,1.78%
12/31/2025,27244.3,21279.5,21401.3,27400.1,124.695,128.03,18738.8,15027.6,3441.9,1330.2,2110.1,4658.9,1688.8,2970.1,298.075,,1.57%,1.70%,1.64%,1.77%
3/31/2026,27491.3,21365.3,21491.3,27653.4,125.299,128.672,18921.3,15100.8,3446.3,1331.4,2113.2,4697.2,1699.2,2998,299.748,,1.61%,1.68%,1.65%,1.75%
6/30/2026,27737.2,21449.2,21581,27907.5,125.906,129.315,19090.5,15162.5,3450.8,1332.8,2116.3,4735.9,1709.9,3026,301.426,,1.57%,1.67%,1.71%,1.75%
9/30/2026,27989.3,21536.5,21670.9,28164,126.514,129.962,19264.5,15227.2,3455.4,1334.2,2119.5,4775,1720.7,3054.3,303.11,,1.63%,1.67%,1.78%,1.74%
12/31/2026,28249.2,21628.6,21761.4,28422.7,127.124,130.61,19445.2,15296.3,3460,1335.5,2122.7,4814.3,1731.4,3082.9,304.801,,1.71%,1.67%,1.84%,1.74%
3/31/2027,28515.7,21724.2,21852.4,28683.9,127.736,131.262,19641.5,15376.6,3464.5,1336.8,2125.9,4853.7,1742.1,3111.7,306.5,,1.77%,1.67%,1.88%,1.74%
6/30/2027,28787.2,21822.5,21943.5,28946.9,128.351,131.915,19839.2,15457,3469,1338,2129,4893.3,1752.8,3140.5,308.206,,1.81%,1.67%,1.87%,1.74%
9/30/2027,29059.8,21920.3,22035,29211.9,128.969,132.57,20037.6,15536.8,3473.6,1339.4,2132.2,4933.2,1763.7,3169.6,309.921,,1.79%,1.67%,1.83%,1.75%
