,date,gdp,gdppotq,federal_nom,federal_social_benefits,federal_noncorp_taxes,federal_corporate_taxes,federal_igrants,federal_cgrants,federal_nom_sg,federal_social_benefits_sg,federal_noncorp_taxes_sg,federal_corporate_taxes_sg,federal_igrants_sg,federal_cgrants_sg,federal_nom_sgpot,federal_social_benefits_sgpot,federal_noncorp_taxes_sgpot,federal_corporate_taxes_sgpot,federal_igrants_sgpot,federal_cgrants_sgpot
1,3/31/1970,1051.2,1056,133.6,41.3,153.6,27,5.576,13.91379962,0.127092846,0.039288432,0.146118721,0.025684932,0.005304414,0.013236111,0.126515152,0.039109848,0.145454545,0.025568182,0.005280303,0.013175947
2,6/30/1970,1067.4,1079.4,131.8,50.3,154.9,27,5.228,15.0526276,0.123477609,0.047123852,0.145118981,0.02529511,0.004897883,0.014102143,0.122104873,0.046599963,0.143505651,0.025013897,0.004843432,0.013945366
3,9/30/1970,1086.1,1096.6,132.4,49.6,150.4,27.9,4.816,16.19145557,0.12190406,0.045667986,0.13847712,0.025688242,0.004434214,0.014907887,0.120736823,0.045230713,0.137151195,0.025442276,0.004391756,0.014765143
4,12/31/1970,1088.6,1119.3,133.5,52.3,151,26.6,4.9,16.63028355,0.122634577,0.048043358,0.13871027,0.024435054,0.004501194,0.015276762,0.119270973,0.046725632,0.134905745,0.023764853,0.004377736,0.014857754
5,3/31/1971,1135.2,1144.7,133.3,53.2,152.6,29.9,5.464,16.9716953,0.117424242,0.046863989,0.134425652,0.026338971,0.004813249,0.014950401,0.116449725,0.046475059,0.133310038,0.026120381,0.004773303,0.014826326
6,6/30/1971,1156.3,1168.2,134.3,59.9,154,30.7,6.312,18.34406273,0.116146329,0.051803165,0.13318343,0.026550203,0.005458791,0.015864449,0.114963191,0.051275467,0.131826742,0.026279747,0.005403184,0.015702844
7,9/30/1971,1177.7,1188.9,135.6,59.1,155.7,29.8,5.756,18.47333831,0.115139679,0.050182559,0.132206844,0.025303558,0.004887493,0.015685946,0.114055009,0.049709816,0.130961393,0.025065186,0.00484145,0.015538177
8,12/31/1971,1190.3,1207.8,134.7,59.9,158.2,30.1,5.644,19.54570575,0.113164748,0.050323448,0.13290767,0.025287743,0.004741662,0.016420823,0.111525087,0.049594304,0.130981951,0.024921345,0.004672959,0.016182899
9,3/31/1972,1230.6,1235.5,141.4,61.7,175.8,31.8,5.668,20.13411114,0.114903299,0.050138144,0.142857143,0.025841053,0.004605883,0.016361215,0.114447592,0.049939296,0.142290571,0.025738567,0.004587616,0.016296326
10,6/30/1972,1266.4,1252.7,144.2,61.5,178.6,32,5.216,28.32472938,0.113866077,0.048562855,0.14102969,0.025268478,0.004118762,0.022366337,0.115111359,0.049093957,0.142572044,0.025544823,0.004163806,0.022610944
