year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.44423239505774204,0,-0.04563478244611591,0.23337777620836345,0.1404586827899792,-0.4194712414444585,0
2000,Q1,-0.7427832961857673,0,-1.8840417969828844,-1.309037505585076,0.04210926371058449,-0.6171135551083927,0
2000,Q2,-0.6061474376861237,0,-0.30139523533755397,0.4745635077693316,-0.5055742591172933,-0.2703844839895923,0
2000,Q3,-0.8321622123124182,0,-1.0975770344831166,-0.7492572760138498,-0.25418126938713426,-0.09413848908213251,0
2000,Q4,-0.8717785123936562,0,-0.2040999827710683,0.04483485323365277,-0.269846467960747,0.020911631956025942,0
2001,Q1,-0.22362311307180782,1,0.7085798003045091,0.4263066381764687,0.04616673541438622,0.23610642671365414,0
2001,Q2,0.11396486616767554,1,1.0489566816203795,0.3957351835397209,0.2771237505330946,0.37609774754756403,0
2001,Q3,0.5942629617124117,1,0.8236153476958279,-0.31339087770459656,-0.32995585113922155,1.466962076539646,0
2001,Q4,1.1310956860432508,1,1.9432309145522884,0.13463955945892403,0.5487860873051168,1.2598052677882476,0
2002,Q1,1.5315720817833018,0,2.310485383264713,1.0646842159173184,-0.2800899846201557,1.5258911519675507,0
2002,Q2,1.7583958000827897,0,1.9562515548183304,0.33149074018751223,-0.24312366956767514,1.8678844841984932,0
2002,Q3,1.9196626370010734,0,1.4686826953689627,-0.07187942321930438,-0.006987190920237668,1.5475493095085047,0
2002,Q4,1.7372131123948833,0,1.2134328161275274,0.35949286079278214,-0.2401286285027327,1.094068583837478,0
2003,Q1,1.3441179703219381,0,0.7381048149729323,0.05441334298158673,-0.44510022810726846,1.128791700098614,0
2003,Q2,1.207433881512575,0,1.4095151995808772,1.679527655482357,-1.4179711535299133,1.1479586976284335,0
2003,Q3,0.9934590334659017,0,0.6127833031822698,-0.7179306953627569,0.4159388368257598,0.9147751617192669,0
2003,Q4,0.8585230153626819,0,0.6736887437146485,0.5233576369569283,-0.5308237303532207,0.6811548371109409,0
2004,Q1,0.6993704320335234,0,0.10149448165629871,-0.3898189302143668,0.24953880431344716,0.24177460755721836,0
2004,Q2,0.32311180847738524,0,-0.0955192946436755,-0.26713211843066714,-0.01944955732500092,0.19106238111199256,0
2004,Q3,0.0598374389957933,0,-0.4403141747440979,0.35405779054178216,-0.7150998054526266,-0.07927215983325342,0
2004,Q4,-0.26896922236422527,0,-0.6415379017254258,-0.3406572730422016,-0.2145297193186204,-0.08635090936460377,0
2005,Q1,-0.4476694930112406,0,-0.6133066009317627,0.03477795903244835,-0.14325516423455248,-0.5048293957296586,0
2005,Q2,-0.6835372924825965,0,-1.0389904925290994,-0.2581617717552114,-0.26292045384863705,-0.517908266925251,0
2005,Q3,-0.7602729084411336,0,-0.7472566385782462,-0.09701758812802284,-0.11339656903436277,-0.5368424814158606,0
2005,Q4,-0.8140246017323333,0,-0.8565446748902245,-0.2684271949287784,-0.12073089185159643,-0.4673865881098496,0
2006,Q1,-0.6807456409181557,0,-0.08019075767505235,0.6948582691936486,-0.16021281745646743,-0.6148362094122335,0
2006,Q2,-0.6998676150497257,0,-1.1154783890553794,-0.484806006091638,0.0396157539499076,-0.6702881369136492,0
2006,Q3,-0.7129384192627559,0,-0.7995398554303668,-0.6587817018926786,0.14415672949881347,-0.2849148830365016,0
2006,Q4,-0.5109456990013681,0,-0.04857379384467311,0.041769291006332476,0.20418561765444324,-0.2945287025054488,0
2007,Q1,-0.6429370722104348,0,-0.6081562505113192,-0.45217798816656696,0.18671436890019466,-0.3426926312449469,0
2007,Q2,-0.35406858978581923,0,0.03999554064308308,0.682253204794333,-0.35938370348119064,-0.2828739606700593,0
2007,Q3,-0.1736849602408686,0,-0.07800533725056419,-0.08898283282641378,0.063267349045715765,-0.05228985346986617,0
2007,Q4,-0.09080903315358088,1,0.2829299145044778,0.13119121372917864,0.10444086555177655,0.047297835223522613,0
2008,Q1,0.04536445846555422,1,-0.06346228403477877,0.314360154882603,-0.505007601840344,0.12718516292296222,0
2008,Q2,0.6839678847590545,1,2.5944092458170838,0.5269285221355945,-0.20235264660833308,2.2698333702898226,0
2008,Q3,1.0541937921563749,1,1.4028982923387168,-0.007582311275042275,0.3037210870880067,1.1067595165257522,0
2008,Q4,1.3887598334486893,1,1.6211940796737352,0.5079759695624959,-0.30275184258749144,1.4159699526987306,0
2009,Q1,2.2842500184219356,1,3.5184984558582064,0.17632278277167318,0.4260862778724393,2.916089395214094,0
2009,Q2,2.3478285036919235,1,2.848723186897036,1.636962443617589,-0.7157767290132139,1.927537472292661,0
2009,Q3,2.677942718842298,0,2.723355152940216,0.4137050260405467,-0.4544765736067359,2.764126700506405,0
2009,Q4,2.8325061242730243,0,2.239447701396641,0.6212413784270605,-0.722692598433132,2.3408989214027125,0
