id,name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
historical,Consumption Deflator Growth,previous,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Consumption Deflator Growth,previous,NA,NA,NA,NA,NA,NA,NA,0.0088,0.0083,0.0082,0.0073,0.0065,0.006,0.0057,0.0056,0.0056,0.0055
historical,Cpiu,previous,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Cpiu,previous,NA,NA,NA,NA,NA,NA,NA,302.448,305.535,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
historical,Federal Aid to Small Businesses Arp Contribution,previous,0.0421,0.1852,0.0477,-0.0341,0.0254,0.0247,-0.0365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Aid to Small Businesses Arp Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0354,-6e-4,-7e-4,-0.0075,-0.0074,-0.0181,-0.0692,-0.03,-0.029,-0.0268
historical,Federal Contribution,previous,0.0284,-0.6712,0.1908,-0.1082,0.4458,-0.1766,-0.4422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.4678,-0.0502,-0.0525,-0.0444,-0.296,-0.428,-0.0618,-0.0504,-0.3905,-32.8507
historical,Federal Corporate Taxes Contribution,previous,-0.0171,-0.0119,-0.02,-0.0402,-0.0512,-0.0516,-0.0296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Corporate Taxes Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0546,-0.0598,-0.0429,-0.0376,-0.0259,-0.011,-0.0134,-0.0024,-0.0063,0.1876
historical,Federal Health Outlays Contribution,previous,0.0496,0.1592,0.0549,0.071,-0.0742,-0.084,-0.0617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Health Outlays Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0784,0.0017,-0.0419,-0.0414,-0.0628,-0.024,0.0267,0.0308,0.041,-5.4033
historical,Federal Non Corporate Taxes Contribution,previous,-0.4123,-0.4194,-0.4157,-0.8956,-1.0165,-0.6076,-0.4387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Non Corporate Taxes Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.1448,0.0079,0.0625,0.1251,0.4023,0.3972,0.4294,0.3823,0.2794,7.9889
historical,Federal Other Direct Aid Arp Contribution,previous,-0.039,0.0094,0.0858,0.0556,0.0342,-0.0637,-0.0648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Other Direct Aid Arp Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0475,-0.1041,-0.0369,-0.0243,-0.0268,-0.0209,-0.022,-0.0306,-0.0214,-0.0196
historical,Federal Other Vulnerable Arp Contribution,previous,0.1216,0.1363,0.1458,0.1264,0.0854,0.0494,-0.0367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Other Vulnerable Arp Contribution,previous,NA,NA,NA,NA,NA,NA,NA,-0.0897,-0.098,-0.0973,-0.0998,-0.0641,-0.0506,-0.0448,-0.0267,-0.0107,-0.0168
historical,Federal Purchases Deflator Growth,previous,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Purchases Deflator Growth,previous,NA,NA,NA,NA,NA,NA,NA,0.0064,0.0058,0.0063,0.0063,0.0073,0.007,0.0068,0.0066,0.006,0.0061
historical,Federal Social Benefits Contribution,previous,-0.0415,-0.0358,0.2091,-0.9142,-0.2292,-0.8354,-0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
projection,Federal Social Benefits Contribution,previous,NA,NA,NA,NA,NA,NA,NA,0.0179,0.1258,0.1719,-0.1104,-0.0957,-0.0808,-0.0661,-0.0309,-0.0692,-6.6316
