,,BEFORE CBO,,,,,AFTER CBO,,,,,AFTER CBO - BEFORE CBO DIFFERENCE,,,,
year,quarter,MA FIM,Total FIM,federal,state_local,consumption,MA FIM,Total FIM,federal,state_local,consumption,MA FIM,Total FIM,federal,state_local,consumption
2024,Q1,0.08,-0.25,-0.27,0.09,-0.08,0.08,-0.25,-0.27,0.09,-0.08,0.00,0.00,0.00,0.00,0.00
2024,Q2,-0.04,-0.67,-0.36,0.16,-0.47,-0.15,-1.12,-0.56,-0.07,-0.49,-0.11,-0.45,-0.20,-0.22,-0.02
2024,Q3,-0.27,-0.36,-0.07,-0.04,-0.25,-0.49,-0.83,-0.28,-0.28,-0.28,-0.23,-0.47,-0.21,-0.23,-0.03
2024,Q4,-0.35,-0.12,-0.08,-0.06,0.03,-0.71,-0.63,-0.29,-0.30,-0.04,-0.36,-0.51,-0.21,-0.23,-0.07
2025,Q1,-0.46,-0.69,-0.42,0.23,-0.50,-0.96,-1.25,-0.63,0.00,-0.62,-0.50,-0.56,-0.21,-0.23,-0.12
2025,Q2,-0.50,-0.82,-0.30,0.12,-0.64,-1.01,-1.35,-0.51,-0.11,-0.73,-0.52,-0.53,-0.21,-0.23,-0.09
2025,Q3,-0.55,-0.56,-0.13,-0.03,-0.40,-1.07,-1.04,-0.33,-0.26,-0.45,-0.52,-0.48,-0.20,-0.23,-0.05
2025,Q4,-0.61,-0.37,-0.17,0.02,-0.22,-1.11,-0.80,-0.36,-0.21,-0.23,-0.50,-0.43,-0.20,-0.23,-0.01
2026,Q1,NO ESTIMATE IN THIS COLUMN,,,,,-0.91,-0.47,-0.30,-0.02,-0.15,,,,,
