name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,NA,NA,0.0084,0.0067,0.006,0.0055,0.0056,0.0055
Consumption Deflator Growth,difference,0,-0,0,-0,0,0,0,NA,NA,NA,NA,0.001,-0,0,-0,-0,0
Consumption Deflator Growth,previous,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,NA,NA,0.0074,0.0067,0.006,0.0055,0.0056,0.0055
Cpiu,current,268.6227,272.89,278.6803,284.826,291.7063,295.509,298.441,NA,NA,NA,NA,310.9897,311.58,313.653,315.562,317.539,319.487
Cpiu,difference,-0,0,0,0,0,0,0,NA,NA,NA,NA,-2.4563,-3.775,-3.466,-3.24,-2.995,-2.742
Cpiu,previous,268.6227,272.89,278.6803,284.826,291.7063,295.509,298.441,NA,NA,NA,NA,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,0.0416,0.1832,0.0467,-0.0341,0.0248,0.0241,-0.0365,NA,NA,NA,NA,-0.0074,-0.0177,-0.0671,-0.0292,-0.0283,-0.0267
Federal Aid to Small Businesses Arp Contribution,difference,-0,0,-0,-0,-0,-0,0,NA,NA,NA,NA,-0,-0,-2e-4,-2e-4,-3e-4,-3e-4
Federal Aid to Small Businesses Arp Contribution,previous,0.0416,0.1832,0.0467,-0.0341,0.0248,0.0241,-0.0365,NA,NA,NA,NA,-0.0074,-0.0177,-0.0669,-0.029,-0.028,-0.0264
Federal Contribution,current,-0.3147,-0.492,0.2061,-0.1514,0.3853,-0.3518,-0.2561,NA,NA,NA,NA,-0.2668,-0.5631,-0.2754,-0.2921,-0.6339,-0.5056
Federal Contribution,difference,-0,-0,0,-0,0,-0,-0,NA,NA,NA,NA,-0.0109,-0.1008,-0.2084,-0.2089,-0.2124,-0.208
Federal Contribution,previous,-0.3147,-0.492,0.2061,-0.1514,0.3853,-0.3518,-0.2561,NA,NA,NA,NA,-0.2559,-0.4623,-0.0669,-0.0832,-0.4215,-0.2976
Federal Corporate Taxes Contribution,current,-0.016,-0.0135,-0.0221,-0.0484,-0.0708,0.1067,-0.0452,NA,NA,NA,NA,0.1561,-0.1297,-0.247,-0.2305,-0.2896,-0.2222
Federal Corporate Taxes Contribution,difference,0,-0,0,-0,-0,-0,-0,NA,NA,NA,NA,-0.0031,-0.0089,-0.0083,-0.0064,-0.0052,-0.0022
Federal Corporate Taxes Contribution,previous,-0.016,-0.0135,-0.0221,-0.0484,-0.0708,0.1067,-0.0452,NA,NA,NA,NA,0.1591,-0.1208,-0.2387,-0.2241,-0.2844,-0.22
Federal Health Outlays Contribution,current,-0.0149,0.1127,0.0635,0.1594,0.0114,-0.0474,-0.1384,NA,NA,NA,NA,-0.2224,-0.214,-0.0229,-0.0949,-0.0694,-0.0808
Federal Health Outlays Contribution,difference,0,-0,-0,-0,-0,0,-0,NA,NA,NA,NA,0.0102,0.0053,-0.003,-0.038,-0.0818,-0.1107
Federal Health Outlays Contribution,previous,-0.0149,0.1127,0.0635,0.1594,0.0114,-0.0474,-0.1384,NA,NA,NA,NA,-0.2326,-0.2193,-0.0199,-0.0569,0.0123,0.0299
Federal Non Corporate Taxes Contribution,current,-0.4901,-0.4646,-0.4198,-0.7065,-0.761,-0.382,-0.1352,NA,NA,NA,NA,0.2014,0.1562,0.3677,0.328,0.006,0.0105
Federal Non Corporate Taxes Contribution,difference,-0,-0,-0,0,0,-0,0,NA,NA,NA,NA,-0.0438,-0.0511,0.0204,0.0726,0.0927,0.1158
