name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,NA,NA,0.0084,0.0067,0.006,0.0055,0.0056,0.0055
Consumption Deflator Growth,difference,0,-0,0,-0,0,0,0,NA,NA,NA,NA,0.001,-0,0,-0,-0,0
Consumption Deflator Growth,previous,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,NA,NA,0.0074,0.0067,0.006,0.0055,0.0056,0.0055
Cpiu,current,268.6227,272.89,278.6803,284.826,291.7063,295.509,298.441,NA,NA,NA,NA,310.9897,315.355,317.119,318.802,320.534,322.229
Cpiu,difference,-0,0,0,0,0,0,0,NA,NA,NA,NA,-2.4563,0,0,0,0,0
Cpiu,previous,268.6227,272.89,278.6803,284.826,291.7063,295.509,298.441,NA,NA,NA,NA,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,1.0404,3.5703,-2.7409,-0.0422,-0.0396,-0.0287,-1.5267,NA,NA,NA,NA,-3e-4,-2e-4,-2e-4,-0.0315,1e-4,1e-4
Federal Aid to Small Businesses Arp Contribution,difference,0.9988,3.3871000000000002,-2.7876,-0.0081,-0.0644,-0.0529,-1.4902,NA,NA,NA,NA,0.0071,0.0175,0.0667,-0.0025,0.0282,0.0265
Federal Aid to Small Businesses Arp Contribution,previous,0.0416,0.1832,0.0467,-0.0341,0.0248,0.0241,-0.0365,NA,NA,NA,NA,-0.0074,-0.0177,-0.0669,-0.029,-0.028,-0.0264
Federal Contribution,current,-0.3147,-0.492,0.2061,-0.1514,0.3853,-0.3518,-0.2561,NA,NA,NA,NA,-0.2668,-0.3599,-0.0673,-0.0838,-0.4221,-0.2982
Federal Contribution,difference,-0,-0,0,-0,0,-0,-0,NA,NA,NA,NA,-0.0109,0.1024,-4e-4,-6e-4,-6e-4,-6e-4
Federal Contribution,previous,-0.3147,-0.492,0.2061,-0.1514,0.3853,-0.3518,-0.2561,NA,NA,NA,NA,-0.2559,-0.4623,-0.0669,-0.0832,-0.4215,-0.2976
Federal Corporate Taxes Contribution,current,-0.4644,0.1566,-0.3039,-0.304,-0.8244,0.3599,0.2434,NA,NA,NA,NA,0.156,-0.1498,-0.2666,-0.2379,-0.3048,-0.2626
Federal Corporate Taxes Contribution,difference,-0.4484,0.1701,-0.2818,-0.2556,-0.7536,0.2532,0.2886,NA,NA,NA,NA,-0.0031,-0.0291,-0.028,-0.0139,-0.0204,-0.0426
Federal Corporate Taxes Contribution,previous,-0.016,-0.0135,-0.0221,-0.0484,-0.0708,0.1067,-0.0452,NA,NA,NA,NA,0.1591,-0.1208,-0.2387,-0.2241,-0.2844,-0.22
Federal Health Outlays Contribution,current,0.2483,0.106,0.1536,0.2322,-0.423,-0.1635,-0.2674,NA,NA,NA,NA,-0.2253,0.0827,0.0949,0.0379,0.035,0.0359
Federal Health Outlays Contribution,difference,0.2632,-0.0067,0.09,0.0728,-0.4344,-0.1161,-0.129,NA,NA,NA,NA,0.0073,0.302,0.1149,0.0949,0.0227,0.006
Federal Health Outlays Contribution,previous,-0.0149,0.1127,0.0635,0.1594,0.0114,-0.0474,-0.1384,NA,NA,NA,NA,-0.2326,-0.2193,-0.0199,-0.0569,0.0123,0.0299
Federal Non Corporate Taxes Contribution,current,-1.5275,-0.836,-0.6106,-3.2173,1.2522,0.3488,1.599,NA,NA,NA,NA,-2.6302,-0.1678,0.2401,0.1269,-0.3976,0.1354
Federal Non Corporate Taxes Contribution,difference,-1.0374,-0.3714,-0.1908,-2.5107,2.0132,0.7308,1.7343,NA,NA,NA,NA,-2.8754,-0.3751,-0.1072,-0.1284,-0.311,0.2407
