name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,NA,NA,0.0074,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0055
Consumption Deflator Growth,difference,-0,0,-0,0,0,0,-0,NA,NA,-0,-0,0,-0,-0,0,-0,0
Consumption Deflator Growth,previous,0.0157,0.0137,0.0151,0.0182,0.0178,0.0106,0.0092,NA,NA,0.0074,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0055
Cpiu,current,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Cpiu,difference,-0,0,-0,-0,-0,-0,0,NA,NA,0,0,0,0,0,0,0,0
Cpiu,previous,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,0.0421,0.1851,0.0475,-0.0343,0.0253,0.0246,-0.0365,NA,NA,-7e-4,-0.0075,-0.0074,-0.0179,-0.0683,-0.0296,-0.0286,-0.027
Federal Aid to Small Businesses Arp Contribution,difference,-0,0,-0,0,0,-0,-0,NA,NA,0,-0,0,-0,-0,-0,0,0
Federal Aid to Small Businesses Arp Contribution,previous,0.0421,0.1851,0.0475,-0.0343,0.0253,0.0246,-0.0365,NA,NA,-7e-4,-0.0075,-0.0074,-0.0179,-0.0683,-0.0296,-0.0286,-0.027
Federal Contribution,current,0.0128,-0.6927,0.1686,-0.1256,0.4365,-0.1787,-0.4349,NA,NA,-0.186,-0.1945,-0.3951,-0.4939,-0.143,-0.1426,-0.46,-0.4584
Federal Contribution,difference,-0,0,0,-0,0,0,-0,NA,NA,-0,0,0,-0,0,0,0,0
Federal Contribution,previous,0.0128,-0.6927,0.1686,-0.1256,0.4365,-0.1787,-0.4349,NA,NA,-0.186,-0.1945,-0.3951,-0.4939,-0.143,-0.1426,-0.46,-0.4584
Federal Corporate Taxes Contribution,current,-0.0173,-0.012,-0.0199,-0.04,-0.0509,0.1279,-0.0301,NA,NA,0.3319,0.3106,0.2054,-0.0771,-0.1953,-0.1772,-0.244,-0.1845
Federal Corporate Taxes Contribution,difference,0,0,-0,0,-0,0,0,NA,NA,0,-0,0,-0,-0,0,0,0
Federal Corporate Taxes Contribution,previous,-0.0173,-0.012,-0.0199,-0.04,-0.0509,0.1279,-0.0301,NA,NA,0.3319,0.3106,0.2054,-0.0771,-0.1953,-0.1772,-0.244,-0.1845
Federal Health Outlays Contribution,current,0.0481,0.1533,0.0452,0.0595,-0.0847,-0.0916,-0.0648,NA,NA,-0.0083,-0.0386,-0.1277,-0.126,-0.0625,0.0066,0.0712,0.1177
Federal Health Outlays Contribution,difference,0,0,-0,-0,-0,0,-0,NA,NA,-0,-0,-0,0,0,-0,-0,-0
Federal Health Outlays Contribution,previous,0.0481,0.1533,0.0452,0.0595,-0.0847,-0.0916,-0.0648,NA,NA,-0.0083,-0.0386,-0.1277,-0.126,-0.0625,0.0066,0.0712,0.1177
Federal Non Corporate Taxes Contribution,current,-0.4116,-0.4139,-0.4064,-0.8843,-1.0047,-0.5968,-0.3681,NA,NA,0.1311,0.1561,0.4183,0.3973,0.4102,0.2994,0.0696,0.0846
Federal Non Corporate Taxes Contribution,difference,-0,-0,0,-0,0,-0,0,NA,NA,0,-0,0,0,-0,0,0,0
Federal Non Corporate Taxes Contribution,previous,-0.4116,-0.4139,-0.4064,-0.8843,-1.0047,-0.5968,-0.3681,NA,NA,0.1311,0.1561,0.4183,0.3973,0.4102,0.2994,0.0696,0.0846
Federal Other Direct Aid Arp Contribution,current,-0.039,0.0094,0.0857,0.0555,0.0341,-0.0637,-0.0649,NA,NA,-0.0365,-0.024,-0.0265,-0.0206,-0.0217,-0.0302,-0.0211,-0.0162
Federal Other Direct Aid Arp Contribution,difference,0,0,0,-0,-0,-0,-0,NA,NA,-0,0,0,-0,0,0,0,-0
Federal Other Direct Aid Arp Contribution,previous,-0.039,0.0094,0.0857,0.0555,0.0341,-0.0637,-0.0649,NA,NA,-0.0365,-0.024,-0.0265,-0.0206,-0.0217,-0.0302,-0.0211,-0.0162
Federal Other Vulnerable Arp Contribution,current,0.1216,0.1362,0.1456,0.1261,0.0852,0.0492,-0.0368,NA,NA,-0.0961,-0.0985,-0.0633,-0.0499,-0.0442,-0.0264,-0.0105,-0.01
Federal Other Vulnerable Arp Contribution,difference,-0,0,-0,0,-0,-0,0,NA,NA,0,0,0,-0,-0,0,-0,0
Federal Other Vulnerable Arp Contribution,previous,0.1216,0.1362,0.1456,0.1261,0.0852,0.0492,-0.0368,NA,NA,-0.0961,-0.0985,-0.0633,-0.0499,-0.0442,-0.0264,-0.0105,-0.01
Federal Purchases Deflator Growth,current,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,NA,NA,0.0083,0.0072,0.0072,0.0067,0.0069,0.0066,0.0063,0.0061
Federal Purchases Deflator Growth,difference,0,0,-0,0,0,-0,0,NA,NA,-0,0,0,0,-0,0,-0,0
Federal Purchases Deflator Growth,previous,0.0102,0.0108,0.0107,0.0139,0.0147,0.0118,0.0078,NA,NA,0.0083,0.0072,0.0072,0.0067,0.0069,0.0066,0.0063,0.0061
Federal Social Benefits Contribution,current,-0.0437,-0.0434,0.1964,-0.9292,-0.2428,-0.8431,-0.4818,NA,NA,0.1334,-0.0722,-0.1594,-0.077,-0.0709,-0.0377,-0.0742,-0.0723
Federal Social Benefits Contribution,difference,0,-0,-0,-0,0,-0,-0,NA,NA,0,-0,-0,-0,-0,-0,-0,-0
Federal Social Benefits Contribution,previous,-0.0437,-0.0434,0.1964,-0.9292,-0.2428,-0.8431,-0.4818,NA,NA,0.1334,-0.0722,-0.1594,-0.077,-0.0709,-0.0377,-0.0742,-0.0723
Federal Student Loans Contribution,current,0.0646,0.0296,0.0274,0.0173,-0.0131,-0.0124,-0.0118,NA,NA,-0.1368,-0.1146,-0.104,-0.0952,-0.0561,-0.0305,-0.0302,-0.0238
Federal Student Loans Contribution,difference,0,0,-0,0,0,0,-0,NA,NA,0,-0,0,0,0,0,-0,0
Federal Student Loans Contribution,previous,0.0646,0.0296,0.0274,0.0173,-0.0131,-0.0124,-0.0118,NA,NA,-0.1368,-0.1146,-0.104,-0.0952,-0.0561,-0.0305,-0.0302,-0.0238
Federal Subsidies Contribution,current,0.399,0.2365,0.0296,-0.0604,-0.0848,-0.0844,-0.0471,NA,NA,-0.5769,-0.2266,-0.1789,-0.3218,-0.2396,-0.1042,-0.0329,-0.0263
Federal Subsidies Contribution,difference,0,0,0,0,-0,0,0,NA,NA,0,-0,0,0,-0,-0,-0,-0
Federal Subsidies Contribution,previous,0.399,0.2365,0.0296,-0.0604,-0.0848,-0.0844,-0.0471,NA,NA,-0.5769,-0.2266,-0.1789,-0.3218,-0.2396,-0.1042,-0.0329,-0.0263
Federal Ui Contribution,current,0.0755,-0.9745,-1.0374,-0.9616,-1.4202,-0.9659,-0.3967,NA,NA,-0.1294,-0.0076,-0.0014,-7e-4,-3e-4,-2e-4,0,0
Federal Ui Contribution,difference,0,-0,0,0,-0,-0,0,NA,NA,-0,0,0,0,0,0,0,0
Federal Ui Contribution,previous,0.0755,-0.9745,-1.0374,-0.9616,-1.4202,-0.9659,-0.3967,NA,NA,-0.1294,-0.0076,-0.0014,-7e-4,-3e-4,-2e-4,0,0
Fiscal Impact,current,-2.0761,-2.4954,-3.1028,-3.8579,-4.8431,-2.3359,-0.9889,NA,NA,-0.1467,-0.1349,-0.5118,-0.3448,-0.395,-0.2597,-0.4655,-0.5068
Fiscal Impact,difference,-0,0,0,-0,-0,0,0,NA,NA,0,-0,0,-0,0,-0,0,0
Fiscal Impact,previous,-2.0761,-2.4954,-3.1028,-3.8579,-4.8431,-2.3359,-0.9889,NA,NA,-0.1467,-0.1349,-0.5118,-0.3448,-0.395,-0.2597,-0.4655,-0.5068
Gdp,current,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,NA,NA,27029.9185,27301.5903,27613.8192,27943.7792,28280.4648,28629.0729,28984.3047,29331.0786
Gdp,difference,0,0,0,0,0,0,0,NA,NA,-0,-0,-0,-0,-0,0,0,-0
Gdp,previous,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,NA,NA,27029.9185,27301.5903,27613.8192,27943.7792,28280.4648,28629.0729,28984.3047,29331.0786
Grants Contribution,current,0.6692,-0.0325,0.3023,0.3706,0.7885,-0.3021,-0.6923,NA,NA,-0.1351,-0.0606,-0.2616,-0.3746,-0.017,0.0097,-0.3166,-0.1953
Grants Contribution,difference,-0,0,-0,0,0,0,0,NA,NA,-0,0,0,-0,-0,-0,0,-0
Grants Contribution,previous,0.6692,-0.0325,0.3023,0.3706,0.7885,-0.3021,-0.6923,NA,NA,-0.1351,-0.0606,-0.2616,-0.3746,-0.017,0.0097,-0.3166,-0.1953
Real Potential Gdp Growth,current,0.0049,0.0051,0.0051,0.005,0.0048,0.0046,0.0044,NA,NA,0.0042,0.0042,0.0041,0.0041,0.0042,0.0043,0.0043,0.0044
Real Potential Gdp Growth,difference,-0,-0,-0,-0,0,0,0,NA,NA,-0,0,-0,0,0,0,0,-0
Real Potential Gdp Growth,previous,0.0049,0.0051,0.0051,0.005,0.0048,0.0046,0.0044,NA,NA,0.0042,0.0042,0.0041,0.0041,0.0042,0.0043,0.0043,0.0044
Rebate Checks Arp Contribution,current,-1.0363,-0.0482,-1.1582,-0.0329,-0.023,-0.0338,-0.0218,NA,NA,-0.0127,-0.0126,-0.6091,-1e-4,-1e-4,-0.0062,0,0
Rebate Checks Arp Contribution,difference,0,-0,-0,-0,0,0,0,NA,NA,0,0,-0,-0,-0,0,0,0
Rebate Checks Arp Contribution,previous,-1.0363,-0.0482,-1.1582,-0.0329,-0.023,-0.0338,-0.0218,NA,NA,-0.0127,-0.0126,-0.6091,-1e-4,-1e-4,-0.0062,0,0
Rebate Checks Contribution,current,-0.2662,-1.0954,-0.3709,-0.0609,-1.0046,-0.0302,-0.0203,NA,NA,-0.0332,0,0,0,0,0,0,0
Rebate Checks Contribution,difference,-0,-0,0,0,-0,-0,0,NA,NA,0,0,0,0,0,0,0,0
Rebate Checks Contribution,previous,-0.2662,-1.0954,-0.3709,-0.0609,-1.0046,-0.0302,-0.0203,NA,NA,-0.0332,0,0,0,0,0,0,0
