year,quarter,impact,recession,total,federal,state_local,consumption,projection
2023,Q2,-0.8362752463042993,0,-0.4366290784072667,-0.23313551122967135,0.41446923886288645,-0.6179628060404818,0
2023,Q3,-0.206163355339544,0,0.11669951241471888,-0.13834317705567345,0.6372413246991597,-0.3821986352287674,0
2023,Q4,-0.15496258918560762,0,-0.20361835000867917,0.28189703895139495,0.12307562580909474,-0.6085910147691689,0
2024,Q1,-0.07333671570864157,0,0.2302010531666592,-0.14198756162768736,0.14327151242873812,0.22891710236560844,0
2024,Q2,0.11023419006924516,0,0.2976545447042802,0.1918319616047625,-0.01695473526525049,0.12277731836476818,0
2024,Q3,0.24250981981366346,0,0.645802031392392,0.6357757940006586,-0.09257839185567204,0.10260462924740538,0
2024,Q4,0.4298226104525708,0,0.5456328125469503,0.15254837632359466,0.02216543781191536,0.3709189984114402,0
2025,Q1,0.2424830485398335,0,-0.5191571944842902,-1.1699513280438536,0.6141688170411607,0.03662531651840269,0
2025,Q2,0.019287909105523804,0,-0.5951260130329585,-0.9459631673454761,0.5398790488459662,-0.18904189453344855,0
2025,Q3,-0.2565710975257505,0,-0.45763399513270525,-0.15254855384032867,-0.136628294192079,-0.16845714710029758,1
2025,Q4,-0.5123626153072647,0,-0.4775332585791061,-0.19583735408621913,-0.08362913861216678,-0.19806676588072022,1
2026,Q1,-0.38866772604142075,0,-0.0243776374209147,0.043261334756798636,-0.1350938851153313,0.06745491293761796,1
2026,Q2,-0.3498818000694656,0,-0.4399823091451379,-0.18462882311981743,-0.11360361233307226,-0.14174987369224826,1
2026,Q3,-0.3535041492986796,0,-0.47212339204956133,-0.14339816162501146,-0.15372111847030345,-0.1750041119542464,1
2026,Q4,-0.36926385741293594,0,-0.5405720910361315,-0.18710842021112814,-0.13969368921481587,-0.21376998161018748,1
2027,Q1,-0.5246822136696907,0,-0.6460510624479339,-0.10015298531301875,-0.15795149288471627,-0.3879465842501989,1
2027,Q2,-0.5685763991216638,0,-0.6155590509530307,-0.14609606280933313,-0.14734520193261658,-0.3221177862110809,1
