year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.447229407,0,-0.048731271,0.256019289,0.114242088,-0.418992648,0
2000,Q1,-0.745666968,0,-1.88755656,-1.121459071,-0.151292695,-0.614804794,0
2000,Q2,-0.610323193,0,-0.309094427,0.510367603,-0.550389692,-0.269072338,0
2000,Q3,-0.838234424,0,-1.107555439,-0.737491988,-0.277433751,-0.0926297,0
2000,Q4,-0.880699255,0,-0.218590596,-0.177087516,-0.064024535,0.022521455,0
2001,Q1,-0.236051115,1,0.691036001,0.299803631,0.152500137,0.238732233,0
2001,Q2,0.098068828,1,1.027385345,0.152008724,0.496831167,0.378545455,0
2001,Q3,0.575213427,1,0.801022958,-0.054979848,-0.614385372,1.470388178,0
2001,Q4,1.109989812,1,1.920514943,0.112302704,0.544362063,1.263850175,0
2002,Q1,1.508614763,0,2.285535807,0.663080173,0.092585811,1.529869823,0
2002,Q2,1.734679676,0,1.931644997,0.335931788,-0.276963329,1.872676538,0
2002,Q3,1.895358741,0,1.443739216,0.080791934,-0.189982983,1.552930265,0
2002,Q4,1.712158074,0,1.187712275,0.292288903,-0.204077237,1.099500608,0
2003,Q1,1.319105706,0,0.713326338,0.124232628,-0.545503305,1.134597015,0
2003,Q2,1.182519334,0,1.385299507,0.798124219,-0.567430495,1.154605784,0
2003,Q3,0.96870471,0,0.58848072,-0.203167246,-0.129318585,0.920966551,0
2003,Q4,0.833863425,0,0.648347136,0.349283563,-0.387007524,0.686071098,0
2004,Q1,0.674797894,0,0.077064211,0.123643168,-0.294193759,0.247614802,0
2004,Q2,0.298536994,0,-0.119744091,-0.021433684,-0.295611714,0.197301306,0
2004,Q3,0.035043997,0,-0.46549127,0.123347466,-0.514912047,-0.073926689,0
2004,Q4,-0.293725788,0,-0.666732001,-0.260835749,-0.32494013,-0.080956122,0
2005,Q1,-0.472011491,0,-0.636078603,0.127220346,-0.263710604,-0.499588345,0
2005,Q2,-0.706834403,0,-1.05903574,-0.220977108,-0.325662767,-0.512395866,0
2005,Q3,-0.781294681,0,-0.763332381,0.039875405,-0.271966268,-0.531241518,0
2005,Q4,-0.831735856,0,-0.868496699,-0.169507041,-0.237552567,-0.46143709,0
2006,Q1,-0.694976584,0,-0.089041517,0.583799957,-0.064379211,-0.608462262,0
2006,Q2,-0.710574732,0,-1.12142833,-0.371815747,-0.085483509,-0.664129074,0
2006,Q3,-0.720321541,0,-0.802319618,-0.421483268,-0.101754287,-0.279082063,0
2006,Q4,-0.514610689,0,-0.045653292,0.273757531,-0.03049515,-0.288915673,0
2007,Q1,-0.64086112,0,-0.59404324,-0.313536652,0.056740181,-0.337246769,0
2007,Q2,-0.348151827,0,0.049408842,0.330982385,-0.002960587,-0.278612956,0
2007,Q3,-0.164540333,0,-0.067873643,0.114541593,-0.134621215,-0.04779402,0
2007,Q4,-0.079875294,1,0.293006865,0.352331423,-0.110134187,0.05080963,0
2008,Q1,0.054884277,1,-0.055004956,0.314600469,-0.49821908,0.128613654,0
2008,Q2,0.693620879,1,2.60435525,0.516756622,-0.183158948,2.270757576,0
2008,Q3,1.063957883,1,1.413474372,0.263929784,0.042655492,1.106889096,0
2008,Q4,1.398890445,1,1.632737115,0.274961971,-0.057270181,1.415045325,0
2009,Q1,2.295677988,1,3.532145216,0.291917722,0.324998758,2.915228737,0
2009,Q2,2.360576901,1,2.863950899,0.661616111,0.275079766,1.927255021,0
2009,Q3,2.692089184,0,2.739523507,0.204623006,-0.229246344,2.764146845,0
2009,Q4,2.847825103,0,2.255680791,0.421133186,-0.506531515,2.34107912,0
2010,Q1,2.338485565,0,1.494787065,0.299436428,-0.872927335,2.068277972,0
2010,Q2,1.921758466,0,1.197042503,0.363679962,-0.319769192,1.153131732,0
2010,Q3,1.284726012,0,0.191393689,-0.254787764,-0.58735337,1.033534823,0
2010,Q4,0.777818093,0,0.228049117,-0.160368828,-0.634290901,1.022708846,0
2011,Q1,0.04523268,0,-1.43555459,-0.592662942,-0.707248918,-0.135642731,0
2011,Q2,-0.58328709,0,-1.317036576,-0.240987887,-0.606862761,-0.469185928,0
2011,Q3,-1.172062743,0,-2.163708922,-0.852733892,-0.608867273,-0.702107757,0
2011,Q4,-1.500374486,0,-1.085197855,0.005831664,-0.356818588,-0.734210932,0
2012,Q1,-1.505784146,0,-1.45719323,-0.123652559,-0.523294575,-0.810246095,0
