year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.447229407,0,-0.048731271,0.231813694,0.138447684,-0.418992648,0
2000,Q1,-0.745666968,0,-1.88755656,-1.311591661,0.038839896,-0.614804794,0
2000,Q2,-0.610323193,0,-0.309094427,0.470710894,-0.510732983,-0.269072338,0
2000,Q3,-0.838234424,0,-1.107555439,-0.75423041,-0.260695329,-0.0926297,0
2000,Q4,-0.880699255,0,-0.218590596,0.037946777,-0.279058828,0.022521455,0
2001,Q1,-0.236051115,1,0.691036001,0.417669977,0.034633791,0.238732233,0
2001,Q2,0.098068828,1,1.027385345,0.385423307,0.263416584,0.378545455,0
2001,Q3,0.575213427,1,0.801022958,-0.324605155,-0.344760065,1.470388178,0
2001,Q4,1.109989812,1,1.920514943,0.123098901,0.533565866,1.263850175,0
2002,Q1,1.508614763,0,2.285535807,1.052245127,-0.296579144,1.529869823,0
2002,Q2,1.734679676,0,1.931644997,0.318567665,-0.259599206,1.872676538,0
2002,Q3,1.895358741,0,1.443739216,-0.0853262,-0.023864849,1.552930265,0
2002,Q4,1.712158074,0,1.187712275,0.345685321,-0.257473655,1.099500608,0
2003,Q1,1.319105706,0,0.713326338,0.040677665,-0.461948342,1.134597015,0
2003,Q2,1.182519334,0,1.385299507,1.665594538,-1.434900815,1.154605784,0
2003,Q3,0.96870471,0,0.58848072,-0.732342359,0.399856528,0.920966551,0
2003,Q4,0.833863425,0,0.648347136,0.50926517,-0.546989131,0.686071098,0
2004,Q1,0.674797894,0,0.077064211,-0.404120088,0.233569498,0.247614802,0
2004,Q2,0.298536994,0,-0.119744091,-0.281371461,-0.035673936,0.197301306,0
2004,Q3,0.035043997,0,-0.46549127,0.339877025,-0.731441606,-0.073926689,0
2004,Q4,-0.293725788,0,-0.666732001,-0.355031442,-0.230744438,-0.080956122,0
2005,Q1,-0.472011491,0,-0.636078603,0.021683885,-0.158174143,-0.499588345,0
2005,Q2,-0.706834403,0,-1.05903574,-0.270157986,-0.276481888,-0.512395866,0
2005,Q3,-0.781294681,0,-0.763332381,-0.107172863,-0.124918,-0.531241518,0
2005,Q4,-0.831735856,0,-0.868496699,-0.276795014,-0.130264595,-0.46143709,0
2006,Q1,-0.694976584,0,-0.089041517,0.68778691,-0.168366165,-0.608462262,0
2006,Q2,-0.710574732,0,-1.12142833,-0.490503206,0.03320395,-0.664129074,0
2006,Q3,-0.720321541,0,-0.802319618,-0.662788989,0.139551434,-0.279082063,0
2006,Q4,-0.514610689,0,-0.045653292,0.040532616,0.202729765,-0.288915673,0
2007,Q1,-0.64086112,0,-0.59404324,-0.448213838,0.191417367,-0.337246769,0
