year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.444492355,0,-0.045997163,0.233377776,0.140458683,-0.419833622,0
2000,Q1,-0.742543141,0,-1.882829348,-1.309037506,0.042109264,-0.615901106,0
2000,Q2,-0.605966478,0,-0.30151862,0.474563508,-0.505574259,-0.270507869,0
2000,Q3,-0.832016769,0,-1.097721944,-0.749257276,-0.254181269,-0.094283398,0
2000,Q4,-0.871603817,0,-0.204345354,0.044834853,-0.269846468,0.02066626,0
2001,Q1,-0.223664537,1,0.708927771,0.426306638,0.046166735,0.236454397,0
2001,Q2,0.113861374,1,1.048585022,0.395735184,0.277123751,0.375726087,0
2001,Q3,0.594224555,1,0.823730783,-0.313390878,-0.329955851,1.467077511,0
2001,Q4,1.131197568,1,1.943546698,0.134639559,0.548786087,1.260121051,0
2002,Q1,1.531471001,0,2.310021502,1.064684216,-0.280089985,1.52542727,0
2002,Q2,1.758299402,0,1.955898626,0.33149074,-0.24312367,1.867531556,0
2002,Q3,1.91948142,0,1.468458852,-0.071879423,-0.006987191,1.547325467,0
2002,Q4,1.736843714,0,1.212995876,0.359492861,-0.240128629,1.093631643,0
2003,Q1,1.343787635,0,0.737797186,0.054413343,-0.445100228,1.128484071,0
2003,Q2,1.207354591,0,1.410166449,1.679527655,-1.417971154,1.148609947,0
2003,Q3,0.993518026,0,0.613112592,-0.717930695,0.415938837,0.915104451,0
2003,Q4,0.858482823,0,0.672855065,0.523357637,-0.53082373,0.680321159,0
2004,Q1,0.699482438,0,0.101795645,-0.38981893,0.249538804,0.242075771,0
2004,Q2,0.323240622,0,-0.094800816,-0.267132118,-0.019449557,0.19178086,0
2004,Q3,0.059876958,0,-0.440342064,0.354057791,-0.715099805,-0.079300049,0
2004,Q4,-0.26869584,0,-0.641436126,-0.340657273,-0.214529719,-0.086249134,0
2005,Q1,-0.447473425,0,-0.613314694,0.034777959,-0.143255164,-0.504837488,0
2005,Q2,-0.683475403,0,-1.038808729,-0.258161772,-0.262920454,-0.517726504,0
2005,Q3,-0.760206448,0,-0.747266244,-0.097017588,-0.113396569,-0.536852086,0
2005,Q4,-0.813985944,0,-0.85655411,-0.268427195,-0.120730892,-0.467396023,0
2006,Q1,-0.680662186,0,-0.080019662,0.694858269,-0.160212817,-0.614665113,0
2006,Q2,-0.699876679,0,-1.115666699,-0.484806006,0.039615754,-0.670476447,0
2006,Q3,-0.71303479,0,-0.799898687,-0.658781702,0.144156729,-0.285273715,0
2006,Q4,-0.511040878,0,-0.048578463,0.041769291,0.204185618,-0.294533371,0
2007,Q1,-0.64292895,0,-0.607571951,-0.452177988,0.186714369,-0.342108332,0
2007,Q2,-0.35403519,0,0.039908341,0.682253205,-0.359383703,-0.28296116,0
2007,Q3,-0.173541214,0,-0.077922785,-0.088982833,0.063267349,-0.052207301,0
2007,Q4,-0.090712981,1,0.282734472,0.131191214,0.104440866,0.047102393,0
2008,Q1,0.04523031,1,-0.063798787,0.314360155,-0.505007602,0.12684866,0
2008,Q2,0.683958956,1,2.594822922,0.526928522,-0.202352647,2.270247047,0
2008,Q3,1.054265001,1,1.403301396,-0.007582311,0.303721087,1.10716262,0
2008,Q4,1.388837817,1,1.621025736,0.50797597,-0.302751843,1.415801609,0
2009,Q1,2.284287427,1,3.517999652,0.176322783,0.426086278,2.915590592,0
2009,Q2,2.34770196,1,2.848481056,1.636962444,-0.715776729,1.927295342,0
2009,Q3,2.677673877,0,2.723189065,0.413705026,-0.454476574,2.763960613,0
2009,Q4,2.83223865,0,2.239284826,0.621241378,-0.722692598,2.340736046,0
2010,Q1,2.322250967,0,1.478048919,0.482043216,-1.071943724,2.067949427,0
2010,Q2,1.905236084,0,1.180421527,0.412156545,-0.384564031,1.152829012,0
2010,Q3,1.268051489,0,0.174450685,0.076107746,-0.934986404,1.033329343,0
