name,source,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Consumption Deflator Growth,current,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,0.0072,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0056
Consumption Deflator Growth,difference,0,-0,0,-0,0,0,0,NA,NA,-2e-4,-0,0,-0,-0,0,-0,1e-4
Consumption Deflator Growth,previous,0.0153,0.0138,0.0165,0.0186,0.0175,0.0115,0.0102,NA,NA,0.0074,0.0076,0.007,0.0061,0.0063,0.006,0.0057,0.0055
Cpiu,current,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,306.0327,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Cpiu,difference,-0,0,-0,-0,-0,-0,0,NA,NA,-2.4893,0,0,0,0,0,0,0
Cpiu,previous,268.5577,272.8873,278.7067,284.8937,291.5357,295.4957,298.525,NA,NA,308.522,311.218,313.446,315.355,317.119,318.802,320.534,322.229
Federal Aid to Small Businesses Arp Contribution,current,0.0416,0.1832,0.0467,-0.0341,0.0248,0.0242,-0.0364,NA,NA,-9e-4,-0.0075,-0.0074,-0.0177,-0.067,-0.029,-0.0281,-0.0264
Federal Aid to Small Businesses Arp Contribution,difference,-0,-0,0,0,0,0,-0,NA,NA,-0,1e-4,1e-4,2e-4,8e-4,3e-4,3e-4,3e-4
Federal Aid to Small Businesses Arp Contribution,previous,0.0416,0.1832,0.0467,-0.0341,0.0248,0.0242,-0.0364,NA,NA,-9e-4,-0.0076,-0.0074,-0.0179,-0.0678,-0.0294,-0.0284,-0.0268
Federal Contribution,current,-0.3178,-0.4967,0.2011,-0.153,0.3921,-0.3316,-0.2298,NA,NA,-0.0395,-0.1415,-0.3751,-0.389,-0.1022,-0.0917,-0.419,-0.283
Federal Contribution,difference,0,0,-0,-0,-0,0,-0,NA,NA,0.1444,0.0507,0.0156,0.0997,0.039,0.049,0.036,0.1703
Federal Contribution,previous,-0.3178,-0.4967,0.2011,-0.153,0.3921,-0.3316,-0.2298,NA,NA,-0.184,-0.1921,-0.3907,-0.4886,-0.1412,-0.1407,-0.455,-0.4533
Federal Corporate Taxes Contribution,current,-0.0167,-0.014,-0.0225,-0.0488,-0.0712,0.1062,-0.0456,NA,NA,0.3099,0.2838,0.1707,-0.1053,-0.2208,-0.2037,-0.261,-0.1937
Federal Corporate Taxes Contribution,difference,0,-0,-0,-0,-0,0,-0,NA,NA,-1e-4,-0.0034,-0.002,0.0013,0.0027,0.0025,0.0031,0.0022
Federal Corporate Taxes Contribution,previous,-0.0167,-0.014,-0.0225,-0.0488,-0.0712,0.1062,-0.0456,NA,NA,0.3099,0.2871,0.1728,-0.1066,-0.2234,-0.2062,-0.2641,-0.1959
Federal Health Outlays Contribution,current,-0.0053,0.1156,0.0629,0.1572,0.0108,-0.0442,-0.1304,NA,NA,-0.2588,-0.2209,-0.3107,-0.363,-0.2287,-0.1642,-0.0463,0.0658
Federal Health Outlays Contribution,difference,-0,0,0,0,0,0,0,NA,NA,-0.0994,-0.0858,-0.1351,-0.1852,-0.1424,-0.155,-0.1096,-0.0645
Federal Health Outlays Contribution,previous,-0.0053,0.1156,0.0629,0.1572,0.0108,-0.0442,-0.1304,NA,NA,-0.1594,-0.1351,-0.1755,-0.1778,-0.0863,-0.0092,0.0632,0.1303
Federal Non Corporate Taxes Contribution,current,-0.5022,-0.4732,-0.4268,-0.7124,-0.7669,-0.3895,-0.1465,NA,NA,0.3607,0.4131,0.5402,0.4604,0.4643,0.3889,0.0759,0.0628
Federal Non Corporate Taxes Contribution,difference,-0,-0,0,-0,0,-0,0,NA,NA,0.0764,0.0341,-0.0052,0.0135,0.013,0.0135,0.0173,0.018
Federal Non Corporate Taxes Contribution,previous,-0.5022,-0.4732,-0.4268,-0.7124,-0.7669,-0.3895,-0.1465,NA,NA,0.2843,0.3791,0.5454,0.4468,0.4513,0.3753,0.0587,0.0448
Federal Other Direct Aid Arp Contribution,current,-0.0386,0.0092,0.0846,0.0547,0.0337,-0.0631,-0.0644,NA,NA,-0.0363,-0.0236,-0.026,-0.0202,-0.0213,-0.0296,-0.0207,-0.0159
Federal Other Direct Aid Arp Contribution,difference,0,0,-0,0,-0,0,0,NA,NA,-0,3e-4,3e-4,2e-4,3e-4,4e-4,2e-4,2e-4
Federal Other Direct Aid Arp Contribution,previous,-0.0386,0.0092,0.0846,0.0547,0.0337,-0.0631,-0.0644,NA,NA,-0.0363,-0.0239,-0.0263,-0.0205,-0.0216,-0.03,-0.0209,-0.0161
Federal Other Vulnerable Arp Contribution,current,0.1201,0.1348,0.1437,0.1243,0.084,0.0483,-0.0368,NA,NA,-0.0954,-0.0965,-0.062,-0.0489,-0.0433,-0.0258,-0.0103,-0.0098
Federal Other Vulnerable Arp Contribution,difference,0,0,-0,-0,0,-0,-0,NA,NA,-0,0.0012,7e-4,6e-4,5e-4,3e-4,1e-4,1e-4
