year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.308915223,0,0.105286326,0.233377776,0.140458683,-0.268550133,0
2000,Q1,-0.596141682,0,-1.725754842,-1.309037506,0.042109264,-0.4588266,0
2000,Q2,-0.483570844,0,-0.259460085,0.474563508,-0.505574259,-0.228449334,0
2000,Q3,-0.725506382,0,-1.022096925,-0.749257276,-0.254181269,-0.01865838,0
2000,Q4,-0.781442653,0,-0.118458758,0.044834853,-0.269846468,0.106552857,0
2001,Q1,-0.169381183,1,0.722491037,0.426306638,0.046166735,0.250017663,0
2001,Q2,0.187342371,1,1.167434129,0.395735184,0.277123751,0.494575195,0
2001,Q3,0.659762245,1,0.867582571,-0.313390878,-0.329955851,1.5109293,0
2001,Q4,1.187733762,1,1.993427311,0.134639559,0.548786087,1.310001664,0
2002,Q1,1.579354523,0,2.288974081,1.064684216,-0.280089985,1.50437985,0
2002,Q2,1.803606137,0,2.064440585,0.33149074,-0.24312367,1.976073515,0
2002,Q3,1.975648476,0,1.555751928,-0.071879423,-0.006987191,1.634618542,0
2002,Q4,1.7810182,0,1.214906207,0.359492861,-0.240128629,1.095541974,0
2003,Q1,1.408568686,0,0.799176025,0.054413343,-0.445100228,1.18986291,0
2003,Q2,1.214355514,0,1.287587896,1.679527655,-1.417971154,1.026031394,0
2003,Q3,0.954410724,0,0.51597277,-0.717930695,0.415938837,0.817964629,0
2003,Q4,0.794040536,0,0.573425455,0.523357637,-0.53082373,0.580891548,0
2004,Q1,0.572318819,0,-0.087710843,-0.38981893,0.249538804,0.052569283,0
2004,Q2,0.169662274,0,-0.323038285,-0.267132118,-0.019449557,-0.036456609,0
2004,Q3,-0.123080656,0,-0.65499895,0.354057791,-0.715099805,-0.293956936,0
2004,Q4,-0.473544196,0,-0.828428707,-0.340657273,-0.214529719,-0.273241715,0
2005,Q1,-0.637830997,0,-0.744858045,0.034777959,-0.143255164,-0.63638084,0
2005,Q2,-0.834680632,0,-1.110436825,-0.258161772,-0.262920454,-0.589354599,0
2005,Q3,-0.874772771,0,-0.815367508,-0.097017588,-0.113396569,-0.604953351,0
2005,Q4,-0.890955135,0,-0.893158162,-0.268427195,-0.120730892,-0.504000075,0
2006,Q1,-0.737745331,0,-0.132018829,0.694858269,-0.160212817,-0.666664281,0
2006,Q2,-0.748858195,0,-1.154888282,-0.484806006,0.039615754,-0.70969803,0
2006,Q3,-0.746943265,0,-0.807707785,-0.658781702,0.144156729,-0.293082813,0
2006,Q4,-0.547080815,0,-0.093708363,0.041769291,0.204185618,-0.339663272,0
2007,Q1,-0.673536358,0,-0.637841001,-0.452177988,0.186714369,-0.372377382,0
2007,Q2,-0.386830343,0,-0.00806422,0.682253205,-0.359383703,-0.330933722,0
2007,Q3,-0.221312335,0,-0.145635757,-0.088982833,0.063267349,-0.119920273,0
2007,Q4,-0.133078648,1,0.259226386,0.131191214,0.104440866,0.023594307,0
2008,Q1,0.007577974,1,-0.075214511,0.314360155,-0.505007602,0.115432936,0
2008,Q2,0.177759824,1,0.672663178,0.526928522,-0.202352647,0.348087303,0
2008,Q3,0.503167027,1,1.155993053,-0.007582311,0.303721087,0.859854277,0
2008,Q4,0.838416078,1,1.600222593,0.50797597,-0.302751843,1.394998466,0
2009,Q1,1.708453031,1,3.404933298,0.176322783,0.426086278,2.802524237,0
2009,Q2,2.624220364,1,4.335732511,1.636962444,-0.715776729,3.414546797,0
2009,Q3,3.044472795,0,2.837002778,0.413705026,-0.454476574,2.877774326,0
2009,Q4,3.170437896,0,2.104082998,0.621241378,-0.722692598,2.205534218,0
2010,Q1,2.591968047,0,1.091053902,0.482043216,-1.071943724,1.68095441,0
2010,Q2,1.744807703,0,0.947091135,0.412156545,-0.384564031,0.91949862,0
2010,Q3,0.915403157,0,-0.480615405,0.076107746,-0.934986404,0.378263253,0
2010,Q4,0.271634619,0,-0.470991156,-0.715289744,-0.09686485,0.341163438,0
2011,Q1,-0.435606345,0,-1.737909954,-0.787420066,-0.528749072,-0.421740816,0
2011,Q2,-1.039389794,0,-1.468042662,-0.187815983,-0.677135415,-0.603091264,0
2011,Q3,-1.483539246,0,-2.257213211,-1.418877346,-0.060073772,-0.778262092,0
2011,Q4,-1.658437757,0,-1.170585202,-0.219016673,-0.148943191,-0.802625339,0
2012,Q1,-1.574957983,0,-1.403990856,-0.399205814,-0.264358373,-0.74042667,0
2012,Q2,-1.523747279,0,-1.263199846,-0.652315818,-0.074650678,-0.53623335,0
2012,Q3,-1.176009406,0,-0.86626172,-0.078653391,-0.363854404,-0.423753925,0
2012,Q4,-1.274608838,0,-1.56498293,-0.894415113,-0.191273689,-0.479294127,0
2013,Q1,-1.427357909,0,-2.014987142,-1.055602266,0.041282969,-1.000667845,0
2013,Q2,-1.484729728,0,-1.492687121,-0.354453201,-0.104591069,-1.033642851,0
2013,Q3,-1.597123369,0,-1.315836284,-0.620188938,-0.11057539,-0.585071956,0
2013,Q4,-1.585818698,0,-1.519764246,-0.924035579,0.007780926,-0.603509593,0
2014,Q1,-1.46051016,0,-1.51375299,-0.26528732,-0.370444906,-0.878020764,0
2014,Q2,-1.344602209,0,-1.029055317,-0.099677622,-0.137606517,-0.791771179,0
2014,Q3,-1.123167205,0,-0.430096267,0.028575138,0.13102775,-0.589699156,0
2014,Q4,-0.958456137,0,-0.860919973,-0.851886984,0.490525022,-0.499558011,0
2015,Q1,-0.628456122,0,-0.19375293,0.042269292,3.78077E-05,-0.23606003,0
2015,Q2,-0.3471451,0,0.096188769,-0.077273739,0.362552596,-0.189090088,0
2015,Q3,-0.270108793,0,-0.121951038,-0.046868967,0.049882508,-0.124964579,0
2015,Q4,-0.11023193,0,-0.221412522,0.125718133,-0.179906162,-0.167224493,0
2016,Q1,0.016875782,0,0.314677917,-0.012913072,0.357779342,-0.030188353,0
2016,Q2,-0.116934287,0,-0.439051504,-0.207119382,-0.203165955,-0.028766166,0
